iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,new_vaccinations_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CHN,Asia,China,09/07/2020,84992,42,23.143,4641,0,0,59.05,0.029,0.016,3.224,0,0,1.41,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,10/07/2020,84992,0,22,4641,0,0,59.05,0,0.015,3.224,0,0,1.45,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,11/07/2020,85071,79,30.571,4641,0,0,59.105,0.055,0.021,3.224,0,0,1.57,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,12/07/2020,85117,46,35.143,4641,0,0,59.137,0.032,0.024,3.224,0,0,1.57,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,13/07/2020,85117,0,32.571,4641,0,0,59.137,0,0.023,3.224,0,0,1.58,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,14/07/2020,85226,109,44.143,4642,1,0.143,59.213,0.076,0.031,3.225,0.001,0,1.67,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,15/07/2020,85246,20,42.286,4644,2,0.429,59.226,0.014,0.029,3.227,0.001,0,1.63,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,16/07/2020,85327,81,47.857,4644,0,0.429,59.283,0.056,0.033,3.227,0,0,1.66,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,17/07/2020,85402,75,58.571,4645,1,0.571,59.335,0.052,0.041,3.227,0.001,0,1.65,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,18/07/2020,85418,16,49.571,4646,1,0.714,59.346,0.011,0.034,3.228,0.001,0,1.64,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,19/07/2020,85503,85,55.143,4646,0,0.714,59.405,0.059,0.038,3.228,0,0,1.71,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,20/07/2020,85622,119,72.143,4646,0,0.714,59.488,0.083,0.05,3.228,0,0,1.75,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,21/07/2020,85708,86,68.857,4648,2,0.857,59.547,0.06,0.048,3.229,0.001,0.001,1.76,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,22/07/2020,85906,198,94.286,4648,0,0.571,59.685,0.138,0.066,3.229,0,0,1.79,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,23/07/2020,86045,139,102.571,4649,1,0.714,59.782,0.097,0.071,3.23,0.001,0,1.74,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,24/07/2020,86202,157,114.286,4650,1,0.714,59.891,0.109,0.079,3.231,0.001,0,1.7,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,25/07/2020,86381,179,137.571,4652,2,0.857,60.015,0.124,0.096,3.232,0.001,0.001,1.65,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,26/07/2020,86570,189,152.429,4652,0,0.857,60.146,0.131,0.106,3.232,0,0.001,1.6,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,27/07/2020,86783,213,165.857,4656,4,1.429,60.294,0.148,0.115,3.235,0.003,0.001,1.54,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,28/07/2020,86990,207,183.143,4657,1,1.286,60.438,0.144,0.127,3.236,0.001,0.001,1.48,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,29/07/2020,87213,223,186.714,4658,1,1.429,60.593,0.155,0.13,3.236,0.001,0.001,1.41,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,30/07/2020,87489,276,206.286,4659,1,1.429,60.785,0.192,0.143,3.237,0.001,0.001,1.33,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,31/07/2020,87655,166,207.571,4661,2,1.571,60.9,0.115,0.144,3.238,0.001,0.001,1.23,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,01/08/2020,87827,172,206.571,4667,6,2.143,61.02,0.12,0.144,3.242,0.004,0.001,1.15,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,02/08/2020,87985,158,202.143,4669,2,2.429,61.129,0.11,0.14,3.244,0.001,0.002,1.07,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,03/08/2020,88099,114,188,4672,3,2.286,61.209,0.079,0.131,3.246,0.002,0.002,1,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,04/08/2020,88206,107,173.714,4676,4,2.714,61.283,0.074,0.121,3.249,0.003,0.002,0.95,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,05/08/2020,88328,122,159.286,4677,1,2.714,61.368,0.085,0.111,3.249,0.001,0.002,0.91,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,06/08/2020,88460,132,138.714,4680,3,3,61.459,0.092,0.096,3.252,0.002,0.002,0.88,,,,,,,,,,160000000,111.163,,,,,,tests performed,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,07/08/2020,88580,120,132.143,4681,1,2.857,61.543,0.083,0.092,3.252,0.001,0.002,0.85,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,08/08/2020,88672,92,120.714,4681,0,2,61.607,0.064,0.084,3.252,0,0.001,0.82,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,09/08/2020,88793,121,115.429,4686,5,2.429,61.691,0.084,0.08,3.256,0.003,0.002,0.8,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,10/08/2020,88906,113,115.286,4689,3,2.429,61.769,0.079,0.08,3.258,0.002,0.002,0.78,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,11/08/2020,88958,52,107.429,4693,4,2.429,61.805,0.036,0.075,3.261,0.003,0.002,0.75,,,,,,,,,,,,,,,,,,,,,,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
